"filename", "language", "TypeScript", "CSS", "JSON", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\domain\entities\reference-contact.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\domain\repositories\defendant-repository.ts", "TypeScript", 91, 0, 0, 0, 0, 1, 1, 93
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\assign-address-defendant.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\assign-alarm-defendant.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\assign-device-defendant.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\create-defendant.ts", "TypeScript", 21, 0, 0, 0, 0, 9, 8, 38
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\delete-addres-person.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\delete-device-defendant.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\delete.defendant.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\edit-address.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\get-address-by-id.ts", "TypeScript", 26, 0, 0, 0, 0, 2, 3, 31
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\get-address-person.ts", "TypeScript", 27, 0, 0, 0, 0, 2, 3, 32
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\get-defendant-by-id.ts", "TypeScript", 39, 0, 0, 0, 0, 2, 3, 44
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\get-defendant-device.ts", "TypeScript", 24, 0, 0, 0, 0, 2, 3, 29
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\get-defendant.ts", "TypeScript", 38, 0, 0, 0, 0, 1, 3, 42
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\infraestructure\services\update-defendant.ts", "TypeScript", 21, 0, 0, 0, 0, 8, 6, 35
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\app-defendants-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 2, 53
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\app-defendants-manager-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 189, 0, 3, 192
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\forms\add-alarm-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 390, 12, 6, 408
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\forms\address-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 196, 0, 6, 202
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\forms\alarm-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 1, 2, 18
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\forms\app-add-victim-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 237, 19, 4, 260
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\forms\app-device-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 123, 1, 6, 130
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\forms\defendant-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 549, 29, 11, 589
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\forms\edit-addres-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 236, 1, 4, 241
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\forms\edit-victim-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 240, 37, 4, 281
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\forms\phone-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 2, 25
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\forms\reference-from.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 1, 36
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\forms\victim-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 174, 4, 3, 181
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\maps\app-geofence.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 3, 96
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\modals\app-edit-alarm-defendant-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 3, 1, 58
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\modals\app-edit-info-defendant-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 664, 27, 5, 696
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\modals\app-edit-selection-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 78, 0, 1, 79
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\modals\app-edit-victim-defendant-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 1, 1, 56
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\modals\app-new-defendant-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 220, 3, 8, 231
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\tables\app-address-person.tsx", "TypeScript JSX", 0, 0, 0, 0, 177, 4, 7, 188
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\tables\app-defendants-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 212, 12, 8, 232
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\tables\app-devices-defendant-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 143, 26, 7, 176
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\tables\app-exceptions-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 143, 4, 7, 154
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\components\tables\app-reference-contacts-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 165, 4, 8, 177
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-assign-address.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-assign-alarm-defendant.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-assign-device-defendant.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-create-defendant.ts", "TypeScript", 14, 0, 0, 0, 0, 2, 2, 18
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-delete-address-person.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-delete-defendant.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-delete-device-defendant.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-get-addres-by-id.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-get-address-person.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-get-defendant-device.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-get-defendants-by-id.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-get-defendants.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-update-address.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\web\hooks\use-update-defendant.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\devices\domain\entities\device.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\rober\Desktop\otc-app\src\modules\devices\domain\respositories\device-repositoty.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\rober\Desktop\otc-app\src\modules\devices\infraestructure\services\create-device.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\rober\Desktop\otc-app\src\modules\devices\infraestructure\services\delete-device.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\rober\Desktop\otc-app\src\modules\devices\infraestructure\services\get-device-by-id.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\rober\Desktop\otc-app\src\modules\devices\infraestructure\services\get-devices.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\rober\Desktop\otc-app\src\modules\devices\infraestructure\services\update.device.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\rober\Desktop\otc-app\src\modules\devices\web\components\app-devices-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 50, 0, 1, 51
"c:\Users\rober\Desktop\otc-app\src\modules\devices\web\components\app-devices-manager-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 96, 0, 2, 98
"c:\Users\rober\Desktop\otc-app\src\modules\devices\web\components\modals\app-edit-device.tsx", "TypeScript JSX", 0, 0, 0, 0, 188, 1, 4, 193
"c:\Users\rober\Desktop\otc-app\src\modules\devices\web\components\modals\app-new-device-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 176, 0, 2, 178
"c:\Users\rober\Desktop\otc-app\src\modules\devices\web\components\tables\app-device-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 156, 5, 7, 168
"c:\Users\rober\Desktop\otc-app\src\modules\devices\web\hooks\use-create-device.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\rober\Desktop\otc-app\src\modules\devices\web\hooks\use-delete-device.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\devices\web\hooks\use-get-device-by-id.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\devices\web\hooks\use-get-devices.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\devices\web\hooks\use-update-device.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\domain\entities\county.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\domain\entities\gender.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\domain\entities\role.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\domain\entities\user-manage-by-id.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\domain\entities\userManage.ts", "TypeScript", 20, 0, 0, 0, 0, 1, 1, 22
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\domain\repositories\user-manage-repository.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 2, 58
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\infraestructure\services\delete-user.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\infraestructure\services\get-county.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\infraestructure\services\get-genders.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\infraestructure\services\get-roles.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\infraestructure\services\get-user-by-id.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 3, 41
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\infraestructure\services\get-users.ts", "TypeScript", 39, 0, 0, 0, 0, 1, 3, 43
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\infraestructure\services\save-user.ts", "TypeScript", 22, 0, 0, 0, 0, 8, 5, 35
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\infraestructure\services\update-user.ts", "TypeScript", 22, 0, 0, 0, 0, 8, 5, 35
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\components\app-management-users-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 2, 53
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\components\app-management-users-manager-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 127, 0, 1, 128
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\components\forms\new-user-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\components\modals\app-edit-user-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 321, 0, 4, 325
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\components\modals\app-new-user-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 308, 1, 4, 313
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\components\tables\app-management-users-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 168, 10, 7, 185
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\hooks\use-delete-user.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\hooks\use-get-county.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\hooks\use-get-genders.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\hooks\use-get-roles.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\hooks\use-get-user-by-id.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\hooks\use-get-users.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\hooks\use-save-user.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\rober\Desktop\otc-app\src\modules\management-users\web\hooks\use-update-user.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\rober\Desktop\otc-app\src\modules\request-admin\domain\entities\request-admin.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\rober\Desktop\otc-app\src\modules\request-admin\web\components\app-request-admin-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 4, 1, 41
"c:\Users\rober\Desktop\otc-app\src\modules\request-admin\web\components\app-request-admin-manager-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 2, 27
"c:\Users\rober\Desktop\otc-app\src\modules\request-admin\web\components\tables\app-request-admin-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 174, 4, 6, 184
"c:\Users\rober\Desktop\otc-app\src\modules\tracking\domain\entities\historic-position.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\rober\Desktop\otc-app\src\modules\tracking\domain\entities\tracking-detail.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 3, 45
"c:\Users\rober\Desktop\otc-app\src\modules\tracking\domain\entities\tracking.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\tracking\domain\repositories\tracking-repository.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\rober\Desktop\otc-app\src\modules\tracking\infraestructure\services\find-historic-position.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\rober\Desktop\otc-app\src\modules\tracking\infraestructure\services\get-tracking-detail.ts", "TypeScript", 20, 0, 0, 0, 0, 1, 3, 24
